timestamp,original_path,segment_index,saved_image_path,predicted_char,corrected_char
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,1,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_001_20260427_115432.png,H,A
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,2,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_002_20260427_115432.png,L,L
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,3,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_003_20260427_115432.png,I,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,4,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_004_20260427_115432.png,O,C
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,5,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_005_20260427_115432.png,B,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,6,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_006_20260427_115432.png,M,W
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,7,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_007_20260427_115432.png,A,A
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,8,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_008_20260427_115432.png,S,S
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,9,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_009_20260427_115432.png,W,B
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,10,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_010_20260427_115432.png,E,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,11,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_011_20260427_115432.png,Y,G
